question,reference_answer,predicted_answer,semantic_similarity,response_time_ms,exact_match
Someone shared my private photos on Twitter and tagged my name.,"This act falls under Section 74 of the BNS and Section 66E of the IT Act, 2000, as it involves unauthorized dissemination of private images. Punishment includes imprisonment from one year to five years and a fine. You should report the post to Twitter and lodge a complaint with cybercrime authorities.","This act violates privacy and cyber harassment under Section 74 of the BNS and Section 66E of the IT Act, 2000. It is punishable with imprisonment from one year to five years and a fine. The victim should report the incident to Twitter and the cybercrime portal.",89.67080116271973,2294.5926189422607,False
My husband harassed me via phone and social media constantly.,"Cyber harassment is punishable under Section 85 BNS. He may face imprisonment and fine. Preserve all messages, screenshots, and call records. Bail may be limited depending on the severity of harassment.",This is harassment under Section 85 BNS. He can be punished with imprisonment and fine. Preserve screenshots and report to police and cybercrime authorities.,80.07805347442627,651.7741680145264,False
My brother took money from others promising to sell our family land without informing me.,"This constitutes cheating under BNS Section 318, punishable with imprisonment and fine. You should immediately file a police complaint and inform the buyers to prevent illegal transfer.","This act violates Section 74 of the BNS and Section 66E of the IT Act, 2000. It is punishable with imprisonment and fine. Report the matter to the police and file a complaint with the police.",55.82154989242554,908.9555740356445,False
Someone hacked my online cloud storage and deleted important files.,"This is cyber fraud and data tampering under Section 318 BNS for cheating. Preserve evidence, backup remaining data, and report to police and IT authorities.","This is cyber fraud and data tampering under Section 318 BNS for cheating. Preserve logs, backups, and report to IT security and police.",96.02102041244507,699.8741626739502,False
My brother forcibly removed me from the property I legally own.,Using criminal force to remove someone from property is punishable under Section 336 of BNS. He may face imprisonment and/or fine. Report to police and seek civil remedies for possession.,Using criminal force to remove someone from their property falls under Section 316 of BNS. The offender may face imprisonment and fine. File a police complaint immediately.,88.46167922019958,570.4145431518555,False
Someone sent me a fake invoice claiming I owe money for services I never used.,"This is cheating under Section 336 BNS. Preserve the invoice and related messages, and report to police or cybercrime authorities immediately.","This is phishing and cyber fraud under Section 318 BNS for cheating. Do not share details, preserve the invoice, and report to cybercrime authorities.",83.57899785041809,582.1666717529297,False
My senior leaked my private pictures online. How can I get justice?,"Leaking private photos violates BNS Section 74 and IT Act Section 66E. The offender may face imprisonment from one year to five years, along with a fine. Immediately report to the police and cybercrime.gov.in for legal action.","This act violates Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender can be punished with imprisonment from one year to five years and a fine. Report the incident to the police.",63.82740139961243,846.3089466094971,False
My brother has stopped me from entering my own land.,"This is wrongful restraint under BNS Section 329, which is punishable with imprisonment or fine. You can lodge a complaint at the local police station and also seek an injunction order from the court to regain access.",You can file a complaint under Section 85 of the BNS for criminal intimidation. You can also seek protection under the Domestic Violence Act. You can also seek protection under the Domestic Violence Act.,58.088743686676025,777.7965068817139,False
My brother is selling our joint family land without my consent.,Selling joint family property without consent constitutes criminal breach of trust under BNS Section 318 and can attract imprisonment and fine. You can file a civil suit for injunction and report the act to the police to prevent the sale.,This act constitutes criminal intimidation under Section 329 of BNS. The offender may face imprisonment and fine. File a police complaint immediately. Bail may be granted with conditions.,40.79703092575073,660.6349945068359,False
My brother forcibly prevented me from harvesting crops on my portion of land.,Forcibly preventing lawful activity falls under Section 336 of BNS. The offender may face imprisonment and fine. Lodge a police complaint and request a court injunction to secure access.,Using criminal force to prevent someone from harvesting property falls under Sections 336 and 329 of BNS. The offender may face imprisonment and fine. File a police complaint immediately.,71.09136581420898,757.0645809173584,False
My husband threatened to harm my relatives if I did not obey him.,Criminal intimidation under Section 85 BNS applies. Punishments include imprisonment and fine. File complaint with police and preserve evidence. Bail may be granted based on court discretion.,This is criminal intimidation under Section 329 of the Bharatiya Nyaya Sanhita (BNS). He may face imprisonment and fine. Preserve all evidence and report to police. Bail may be granted depending on severity.,73.49607348442078,869.2264556884766,False
My husband stalks me and threatens me when I leave home.,Stalking and intimidation under Section 85 BNS. He may face imprisonment and fine. Preserve evidence and report to police. Bail may be limited if the threat is ongoing.,This is criminal intimidation under Section 85 BNS. He can be punished with imprisonment and fine. Preserve evidence and report to police. Bail may be granted depending on severity.,85.67067980766296,726.8221378326416,False
Someone sent me a fake email asking for my personal identification documents.,"This is phishing under Section 318 BNS for cheating. Do not share documents, preserve the email, and report to cybercrime authorities.","This is cyber fraud under Section 318 BNS for cheating. Do not share personal info, preserve the email, and report to cybercrime authorities.",90.50593376159668,589.5969867706299,False
